titulo,autor,ano,status,busca
Lullaby of Broadway,Harry Warren / Al Dubin,1935,1,completa
Lulu’s Back In Town,,,1,titulo
Lush Life,Billy Strayhorn,1933–1936,1,completa
Mack the knife,Kurt Weill / Bertolt Brecht,1928,1,completa
Makin` Whoopee,Gus Khan / Walter Donaldson,1928,1,completa
Mame,Jerry Herman,1955,1,completa
Manhã de Carnaval,,,1,titulo
Margie,Con Conrad / J. Russel Robinson / Benny Davis,1920,1,completa
Meditation,Antônio Carlos Jobim / Newton Mendonça,1962,1,completa
Mein Herr from Cabaret,Fred Ebb / John Kander,1972,1,completa
Memories of you,Eubie Blake / Andy Razaf,1930,1,completa
"Mercy, Mercy, Mercy",,,1,titulo
Ми-ми-мишки,,,1,titulo
Midnight Sun,Lionel Hampton / Sonny Burke / Johnny Mercer,1947,1,completa
Minor Mood,Yusef Lateef,1957,1,completa
Minor Swing,Django Reinhardt / Stéphane Grappelli,1937,1,completa
Minority,Gigi Gryce,1953,1,completa
Miss Otis Regrets,Cole Porter,1934,1,completa
Mississippi Delta Blues,Jimmie Rodgers / Jack Neville,1933,1,completa
Mister Sandman,Pat Ballard,1954,1,completa
Misty Roses,,,1,titulo
Misty,Erroll Garner / Johnny Burke,1954,1,completa
Molten Glass,,,1,titulo
Monk’s Dream,Thelonious Monk,1948,1,completa
Mood Indigo,1930- Duke Ellington / Barney Bigard / Irving Mills,,1,completa
Moon River,Henry Mancini / Johnny Mercer,1961,1,completa
Moonglow,Will Hudson / Irving Mills / Eddie DeLange,1933,1,completa
Moonlight in Vermont,John Blackburn / Karl Suessdorf,1944,1,completa
Moonlight Serenade,Glenn Miller / Mitchell Parish,1939,1,completa
More Than You Know,Vincent Youmans / Billy Rose / Edward Eliscu,1929,1,completa
Muskrat Ramble,,,1,titulo
Mustang,Gennadiy Bondarev,1967,0,
My Blue Heaven,Walter Donaldson / George A. Whiting,1927,1,completa
My Cherie Amor,Stevie Wonder,1969,1,completa
My favorite things,Richard Rodgers / Oscar Hammerstein II,1959,1,completa
