Titulo,Autor,Ano
Mein Herr from Cabaret,Fred Ebb / John Kander,1972
Memories of you,Eubie Blake / Andy Razaf,1930
"Mercy, Mercy, Mercy",,
Ми-ми-мишки,,
Midnight Sun,Lionel Hampton / Sonny Burke / Johnny Mercer,1947
Minor Mood,Yusef Lateef,1957
Minor Swing,Django Reinhardt / Stéphane Grappelli,1937
Minority,Gigi Gryce,1953
Miss Otis Regrets,Cole Porter,1934
Mississippi Delta Blues,Jimmie Rodgers / Jack Neville,1933
Mister Sandman,Pat Ballard,1954
Misty Roses,,
Misty,Erroll Garner / Johnny Burke,1954
Molten Glass,,
Monk’s Dream,Thelonious Monk,1948
Mood Indigo,1930- Duke Ellington / Barney Bigard / Irving Mills,
Moon River,Henry Mancini / Johnny Mercer,1961
Moonglow,Will Hudson / Irving Mills / Eddie DeLange,1933
Moonlight in Vermont,John Blackburn / Karl Suessdorf,1944
Moonlight Serenade,Glenn Miller / Mitchell Parish,1939
More Than You Know,Vincent Youmans / Billy Rose / Edward Eliscu,1929
Muskrat Ramble,,
Mustang,Gennadiy Bondarev,1967
My Blue Heaven,Walter Donaldson / George A. Whiting,1927
My Cherie Amor,Stevie Wonder,1969
My favorite things,Richard Rodgers / Oscar Hammerstein II,1959
My Funny Valentine,Richard Rodgers / Lorenz Hart,1937
My Heart Stood Still,Richard Rodgers / Lorenz Hart,1927
My Ideal,Richard A. Whiting / Newell Chase /Leo Robin,1930
My Little Suede Shoes,,
My Man’s Gone Now,George Gershwin / DuBose Heyward,1935
My Melancholy Baby,Ernie Burnett / George A. Norton,1912
My One and Only Love,Guy Wood / Robert Mellin,1952
My Romance,Lorenz Hart / Richard Rodgers,1935
My Shining Hour,Harold Arlen / Johnny Mercer,1943
My Ship,Kurt Weill / Ira Gershwin,1941
My Way,Claude François / Gilles Thibaut / Jacques Revaux / Paul Anka,1969
My Window Faces The South,A. Silver / M. Parish / J. Livingstone,1933
Naima,John Coltrane,1959
Namely You,Gene DePaul / Johnny Mercer,1956
Nancy (with the Laughing Face),Jimmy Van Heusen / Phil Silvers,1942
Nardis,Miles Davis,1958
Nature Boy,Eden Ahbez,1948
Nearness,Bob Gillis,
Nefertiti,,
"New York, New York",John Kander / Fred Ebb,1977
Nica’s Dream,Horace Silver,1954
Nice Work If You Can Get It,,
Night and day,Cole Porter,1932
No Moon at All,,
No More Blues,Antonio Carlos Jobim / Jon Hendricks / Jessie Cavanaugh / Vinicius DeMoraes,1957
No Regrets,,
Nobody Else but Me,,
Not Like This,,
Nothing’s Gonna Change My Love for You,Michael Masser / Gerry Goffin,1984
Now’s the Time,Charlie Parker,1945
Nuages,Django Reinhardt,1940
O Grande Amor,Antonio Carlos Jobim / Vinicius DeMoraes,1963
Oblivion,Ástor Piazzolla,1982
Ode To A Flugelhorn,Clark Terry,1965
Offshore,Booker Little,
Old Devil Moon,,
Old Fashioned Love,James P. Johnson / Cecil Mack,1923
Old Folks,,
Oleo,Sonny Rollins,1954
On a Clear Day (You Can See Forever),,
On a Slow Boat to China,,
On Green Dolphin Street,,
On The Atchison Topeka And The Santa Fe,Harry Warren / Johnny Mercer,1945
